Chunking,Embedding,ChunkHit@5
Fixed,all-MiniLM-L6-v2,0.785
Fixed,BAAI/bge-base-en-v1.5,0.82
Recursive,all-MiniLM-L6-v2,0.79
Recursive,BAAI/bge-base-en-v1.5,0.825
Section-Aware,all-MiniLM-L6-v2,0.79
Section-Aware,BAAI/bge-base-en-v1.5,0.82
